Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 68\Prüfablauf - (1 von 100)\F4016_1_Realkollektiv_1_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
373	430683,184	6,156	-2,649	430683,209	5,636	-68,660	
374	430683,234	6,155	-2,682	430683,259	5,636	-68,606	
375	430683,284	6,155	-2,702	430683,309	5,636	-68,678	
376	430683,334	6,155	-2,654	430683,359	5,636	-68,618	
377	430683,384	6,155	-2,664	430683,409	5,636	-68,709	
378	430683,434	6,155	-2,735	430683,459	5,636	-68,593	
379	430683,484	6,156	-2,648	430683,509	5,636	-68,696	
380	430683,534	6,156	-2,651	430683,559	5,636	-68,590	
381	430683,584	6,156	-2,641	430683,609	5,636	-68,678	
382	430683,634	6,155	-2,661	430683,659	5,637	-68,604	
383	430683,684	6,155	-2,703	430683,709	5,636	-68,693	
384	430683,734	6,155	-2,671	430683,759	5,637	-68,626	
385	430683,784	6,155	-2,664	430683,809	5,636	-68,684	
386	430683,834	6,156	-2,613	430683,859	5,637	-68,581	
387	430683,884	6,155	-2,712	430683,909	5,636	-68,702	
388	430683,934	6,156	-2,639	430683,959	5,636	-68,632	
389	430683,984	6,156	-2,625	430684,009	5,636	-68,701	
390	430684,034	6,155	-2,686	430684,059	5,636	-68,621	
391	430684,084	6,156	-2,613	430684,109	5,636	-68,682	
392	430684,134	6,154	-2,748	430684,159	5,636	-68,609	
393	430684,184	6,155	-2,635	430684,209	5,636	-68,677	
394	430684,234	6,155	-2,724	430684,259	5,636	-68,590	
395	430684,284	6,155	-2,652	430684,309	5,636	-68,678	
396	430684,334	6,155	-2,656	430684,359	5,636	-68,619	
397	430684,384	6,156	-2,615	430684,409	5,636	-68,657	
398	430684,434	6,155	-2,682	430684,459	5,636	-68,617	
399	430684,484	6,155	-2,761	430684,509	5,636	-68,711	
400	430684,534	6,155	-2,722	430684,559	5,636	-68,620	
401	430684,584	6,155	-2,718	430684,609	5,636	-68,697	
402	430684,634	6,155	-2,733	430684,659	5,637	-68,621	
403	430684,684	6,156	-2,664	430684,709	5,636	-68,688	
404	430684,734	6,156	-2,627	430684,759	5,636	-68,597	
405	430684,784	6,155	-2,654	430684,809	5,637	-68,635	
406	430684,834	6,155	-2,658	430684,859	5,636	-68,634	
407	430684,884	6,156	-2,642	430684,909	5,636	-68,671	
408	430684,934	6,155	-2,709	430684,959	5,636	-68,655	
409	430684,984	6,156	-2,603	430685,009	5,636	-68,678	
